review_text,sentiment,text_length
We're mid-contract and haven't had a reason to revisit the terms yet.,Neutral,69
Our team's process now includes a manual double-check because we no longer trust the automated one.,Frustrated,99
"The recent update changed a couple of menu locations, took a bit to adjust.",Neutral,75
The recent update genuinely addressed feedback we'd given months earlier.,Satisfied,73
The export throttling kicks in earlier than the documented limit actually says it should.,Frustrated,89
Our team's first year with this tool has genuinely exceeded expectations.,Satisfied,73
The recent update improved battery usage on the mobile app noticeably.,Satisfied,70
Support caught a subtle configuration issue we hadn't even noticed ourselves.,Satisfied,77
Support macro responses keep coming back that don't actually address what we asked.,Frustrated,83
"Had one bug early on, got sorted out within a few days.",Neutral,55
Our team split on whether the new layout is better or just different.,Neutral,69
"The interface took some getting used to at first, but we've adjusted fine.",Neutral,74
"We noticed the mobile app icon changed in the last update, otherwise business as usual.",Neutral,87
Support's fix for our integration bug was to suggest switching to an unrelated tool entirely.,Frustrated,93
The recent price match offer when we mentioned a competitor's quote was handled fairly and quickly.,Satisfied,99
Our team's confidence in the platform means we've stopped keeping a manual backup process.,Satisfied,90
The recent update to the permissions system made onboarding new admins much simpler.,Satisfied,84
The recent consolidation of settings pages took a bit of relearning but nothing major.,Neutral,86
Our finance team said the invoicing process is the cleanest they deal with across all our vendors.,Satisfied,98
Our team appreciated that support followed up after the fix to confirm everything was still working.,Satisfied,100
"About seven months as a customer, light weekly logins, and even at that pace we've never once hit a bug worth reporting.",Satisfied,120
This year's renewal quietly removed the cancellation grace period we used to have.,Frustrated,82
A minor bug came up last quarter and got resolved without much drama.,Neutral,69
The platform's permissions model handled our complex org structure better than we expected.,Satisfied,91
The onboarding call covered edge cases we hadn't even thought to ask about.,Satisfied,75
"We've never had a renewal conversation that felt like a negotiation, just a formality.",Satisfied,86
"Our team's usage patterns are pretty routine, same handful of reports each week.",Neutral,80
"Support resolved a billing question in a single reply, clearly and completely.",Satisfied,78
We upgraded our plan last quarter and the transition was seamless.,Satisfied,66
"About ten months as a customer, mostly weekly use, and we're genuinely losing patience with the bug count.",Frustrated,106
Usage has dropped off a bit as our needs changed.,Neutral,49
Support proactively suggested a setting change that improved our workflow before we'd even noticed the friction.,Satisfied,112
The recent price adjustment letter cited 'increased value' without listing anything that actually changed.,Frustrated,106
I don't think our account rep has read a single ticket we've filed this year.,Frustrated,77
We switched providers two years ago and this has outperformed the old one on every front.,Satisfied,89
"The API rate limits have never once gotten in our way, even during peak usage.",Satisfied,78
The recent price restructuring effectively doubled our costs for the same feature set we've always used.,Frustrated,104
"The recent settings page reorganization took a minute to find things again, then it was fine.",Neutral,93
"We're a year and a half in, and the last quarter has genuinely felt like a step backward.",Frustrated,89
Nobody proactively told us about the breaking API change; we found out when things stopped working.,Frustrated,99
The status page said everything was fine while we were actively experiencing an outage.,Frustrated,87
"Nearly three years in, light API use, and even so we've never had a reason to open a bug report.",Satisfied,96
The platform's export accuracy has held up even as our data volume has grown significantly.,Satisfied,91
The API sandbox drifted out of sync with production and cost us two failed deploys.,Frustrated,83
We've had genuinely helpful support interactions every single time we've reached out this year.,Satisfied,95
"The API integration took less than a day to set up, start to finish.",Satisfied,68
"The team lead handles most of the day-to-day, so I don't see every detail.",Neutral,74
"About a year and a half in, running it daily through the API, and the reliability has genuinely earned our trust.",Satisfied,113
The recent price change wasn't really a deciding factor for us one way or the other.,Neutral,84
Our team's satisfaction with this tool has only grown since the last major release.,Satisfied,83
Our audit log has gaps corresponding to exactly the days we had open support tickets.,Frustrated,85
Our team's overall verdict after renewal season: no reason to look elsewhere.,Satisfied,77
Our team's overall take is that it does the job without being especially memorable.,Neutral,83
Our team's trust in the export process means it's now part of our automated reporting pipeline.,Satisfied,95
Support's canned reply didn't reference a single thing we'd actually asked about.,Frustrated,81
Two invoices in a row have had errors we had to catch ourselves.,Frustrated,64
"The last invoice matched what we expected, no surprises there.",Neutral,62
The account's two-factor setup locked out three team members in the same week.,Frustrated,78
"Two invoices, two different billing errors, same billing cycle.",Frustrated,63
Our ops lead had to escalate the support ticket twice before anyone even replied.,Frustrated,81
We're seeing the same crash on the reporting page for the third time this month.,Frustrated,80
The recent consolidation of two legacy features actually made training new hires faster.,Satisfied,88
"About a year as a customer, heavy daily use, and it's become the one tool on our team nobody complains about.",Satisfied,109
The dashboard's recent redesign somehow made a busy interface feel calmer.,Satisfied,74
The export tool handles our largest reports without any noticeable lag.,Satisfied,71
"The dashboard covers what we need, though we haven't tested the limits of it much.",Neutral,82
Our IT team spent a full day debugging an issue that turned out to be a documented but unflagged breaking change.,Frustrated,113
We're still waiting on documentation for a feature that shipped over two months ago.,Frustrated,84
"We caught duplicate records after the last sync, and support blamed it on our side without evidence.",Frustrated,100
Support's escalation process worked exactly as described the one time we needed it.,Satisfied,83
"A colleague ran into a permissions quirk, cleared up with a quick support message.",Neutral,82
Our API quota reset time changed without notice and threw off every job built around it.,Frustrated,88
Our billing has matched the contract so far this year.,Neutral,54
The last data export corrupted the currency formatting on every single row.,Frustrated,75
The recent price restructuring landed harder than any increase we've seen before.,Frustrated,81
"Session cookies changed recently and logged out our entire team at the same moment, no warning.",Frustrated,95
"We caught the same duplicate-entry bug a fourth time, across two different reps, still unfixed.",Frustrated,95
"A teammate mentioned the search felt slightly slower this week, nothing dramatic.",Neutral,81
"The audit turned up permissions nobody remembers granting, and support couldn't explain them either.",Frustrated,100
"A couple of bugs came up, support handled them within a reasonable window.",Neutral,74
Getting genuinely tired of re-explaining our setup to a new support rep every single time.,Frustrated,90
"Pricing has stayed the same, and so has our usage.",Neutral,50
The account setup for our new team members has become close to instant.,Satisfied,71
The export tool's recent speed improvements cut our monthly reporting time by a real margin.,Satisfied,92
We're testing out a couple of the newer features but haven't reached a verdict yet.,Neutral,83
Support answered a question outside business hours faster than we expected.,Satisfied,75
The onboarding specialist anticipated a question we hadn't even asked yet.,Satisfied,74
"Our team uses this for a narrow set of tasks, so our view might not reflect the full product.",Neutral,93
Half our saved filters vanished after the last update. No explanation given.,Frustrated,76
Our loyalty discount from signing quietly disappeared at this year's renewal.,Frustrated,77
The recent price increase was modest and clearly explained ahead of time.,Satisfied,73
"The recent password policy change required a reset for everyone, mildly inconvenient but understandable.",Neutral,104
"The API keeps timing out during our nightly jobs, and nobody's given us a real explanation why.",Frustrated,95
"We use this daily across the whole team, and the number of unresolved bugs has started to wear on people.",Frustrated,105
The default timezone silently changed during a routine update and threw off a week of scheduled reports.,Frustrated,104
We've had this running in production for years without a single major incident.,Satisfied,79
"One of our team members handles this tool exclusively, so feedback is limited.",Neutral,78
"Our team's biggest praise is honestly just consistency, quarter after quarter, nothing goes wrong.",Satisfied,98
"Ten months in, running it daily through the API, and the reliability has been consistent enough that renewal wasn't even a discussion.",Satisfied,134
Our finance lead said the renewal terms this year were the most reasonable we've seen from any vendor.,Satisfied,102
Our team's overall sentiment going into this renewal is genuinely enthusiastic.,Satisfied,79
"The onboarding call covered the essentials, nothing beyond that really.",Neutral,71
We disputed an overage charge that shouldn't have applied to our plan in the first place.,Frustrated,89
Our finance team is still trying to reconcile an invoice from two months back.,Frustrated,78
About nine months in and we're already on our fourth thread about the same unresolved sync issue.,Frustrated,97
We keep hitting the same session-timeout bug across three different browsers.,Frustrated,77
Support handled our account transfer between departments without losing any historical data.,Satisfied,92
"Light weekly users for around eight months, and in that time we haven't run into anything worth complaining about.",Satisfied,114
"The support experience has been fine, nothing that stands out as especially good or bad.",Neutral,88
Honestly the support chat routed us through three different queues before anyone answered.,Frustrated,90
The API has handled everything we've thrown at it without a hiccup.,Satisfied,67
The recent update to the reporting module made our monthly close noticeably faster.,Satisfied,83
We had to disable two-factor auth because it kept locking legitimate users out.,Frustrated,79
"A couple of small bugs, both got fixed within a week or so.",Neutral,59
The recent consolidation of two dashboards into one actually reduced the clicks needed for our daily tasks.,Satisfied,107
"Heavy daily use for a year now, a handful of small bugs along the way, about what we'd expect from any tool this size.",Neutral,118
Renewal terms stayed roughly the same as last year.,Neutral,51
Woke up to another outage this morning. Second one in two weeks.,Frustrated,64
The account flagged our own scheduled automation as suspicious and locked us out for days.,Frustrated,90
The support team resolved our one ticket within the expected window.,Neutral,68
Our data import corrupted roughly a tenth of the records with no error shown at all.,Frustrated,84
I've reported the same login bug three separate times and it keeps coming back.,Frustrated,79
Our data exports have been accurate as far as we've checked.,Neutral,60
We've scaled our usage up significantly and it's handled the load without issue.,Satisfied,80
The platform scaled with us through a company-wide reorg without any hiccups.,Satisfied,77
The recent consolidation of support tools means our ticket history from before the switch is just gone.,Frustrated,103
It's the second year running the annual report export has needed a manual workaround.,Frustrated,85
We're still fairly new to this and haven't formed strong opinions in either direction.,Neutral,86
"The storage limit dropped mid-cycle without notice, and we only found out when uploads started failing.",Frustrated,103
The last two feature releases each required us to redo custom configurations from scratch.,Frustrated,90
The API documentation examples reference endpoints that were deprecated over a year ago.,Frustrated,88
"Quick check-in from our side, nothing specific to report this week.",Neutral,67
The permissions system is serviceable; session timeouts show up occasionally but rarely block us.,Neutral,97
Still getting a feel for the reporting side of things.,Neutral,54
Support's proactive outage notice gave us enough time to adjust before it even affected us.,Satisfied,91
The API's error messages are vague enough that debugging usually means guessing and checking.,Frustrated,93
The recent redesign hid the export option two menus deeper than it used to be.,Frustrated,78
We onboarded a whole new department last quarter and it went off without a hitch.,Satisfied,81
"Our contract is up for renewal soon, and we're weighing it against a couple of alternatives.",Neutral,92
"Usage has stayed pretty steady lately, no major changes to note.",Neutral,64
Our team has had zero data accuracy issues since we started tracking it closely.,Satisfied,80
Usage has been split fairly evenly between a few team members.,Neutral,62
"A year of weekly use, one bug that came and went, otherwise a pretty unremarkable experience overall.",Neutral,101
"Our support ticket history shows a handful of resolved questions, nothing recurring.",Neutral,84
"The recent mobile update finally brought feature parity with the web app, and it shows.",Satisfied,87
"Coming up on two years as a customer, heavy daily use across the team, and we genuinely haven't hit a single real bug.",Satisfied,118
Our finance team caught a billing error the support team never flagged on their end.,Frustrated,84
The platform's recent changes have been incremental enough that nothing really stood out.,Neutral,89
"Nine months of light weekly use, and we still haven't found anything to point to as a downside.",Satisfied,95
The recent price adjustment came with a clear breakdown of what changed and why.,Satisfied,80
"Two years of light weekly use, and the experience has stayed pretty consistent the whole way through.",Neutral,101
"The export format is fine for our purposes, though we haven't tried the newer options yet.",Neutral,90
Our team's workflow has gotten noticeably faster since we started using the API integration.,Satisfied,92
"Support acknowledged our question the same day, answered it the next.",Neutral,69
The platform's search has consistently returned exactly what we're looking for.,Satisfied,79
The account's recovery codes stopped working with no notice they'd been rotated.,Frustrated,80
The recent feature addition hasn't changed our day-to-day much either way.,Neutral,74
Half the team has started avoiding the export feature because it fails often enough that nobody trusts it.,Frustrated,106
The account dashboard undercounts our actual API usage by a noticeable margin.,Frustrated,78
"The tool has become part of our routine, not much else to add.",Neutral,62
Support's chat widget connected us to a real person within a minute.,Satisfied,68
Nothing about this quarter's support experience has felt like an improvement.,Frustrated,77
Support reopened the same closed ticket instead of addressing the new details we'd added.,Frustrated,89
Our team's feedback on this has been fairly split between mild positives and mild negatives.,Neutral,92
"We're on our fourth support thread about the same sync issue, and it's not getting any closer to fixed.",Frustrated,103
The billing portal has never once shown an incorrect charge in the time we've used it.,Satisfied,86
We've had this account since early on and watched it improve steadily every year.,Satisfied,81
Our team's overall experience continues to be the kind that just doesn't generate complaints.,Satisfied,93
"The dashboard widgets keep rearranging themselves after certain updates, with no way to lock the layout.",Frustrated,104
Data didn't save. Again. This is the third time this quarter.,Frustrated,61
"Ran into one login hiccup, resolved itself the next day.",Neutral,56
The consolidation of two products under one login broke access for a chunk of our users.,Frustrated,88
Our onboarding took about the amount of time we were told to expect.,Neutral,68
The recent feature release addressed exactly what we'd been hoping for.,Satisfied,71
Migrating our data over was smoother than we expected going in.,Satisfied,63
The changelog rarely mentions breaking changes before they actually break something.,Frustrated,84
"The webhook retries started failing silently, and it cost us a full day tracing the gap.",Frustrated,88
We're paying more this year for a support tier that hasn't felt any faster.,Frustrated,75
Nobody from the account team has checked in with us in three renewal cycles.,Frustrated,76
The API's rate limits are generous enough that we've never had to think about them.,Satisfied,83
The export formatting has matched our template requirements perfectly every time.,Satisfied,81
The export tool hasn't particularly impressed or disappointed us over the past couple of weeks.,Neutral,95
"About a year and a half in, light use, and the couple of bugs we've seen were minor enough not to matter much.",Neutral,110
"Three years in and daily use across the team, and this has been the buggiest stretch we've seen yet.",Frustrated,100
Our contract renewal quietly added terms that weren't in last year's version.,Frustrated,77
The renewal call this year felt more like a retention script than an actual conversation.,Frustrated,89
Support's technical writeup after a rare incident was thorough enough that we didn't need to ask follow-up questions.,Satisfied,117
"Support's response quality has been consistent, if not especially fast.",Neutral,71
"Our team's onboarding of the API took a single afternoon, faster than we expected.",Satisfied,82
"We're a fairly light user of the platform, so we haven't formed a strong opinion yet.",Neutral,85
The uptime page shows fewer incidents than what we've actually experienced this quarter.,Frustrated,88
Support told us to try again later for a bug that's been happening for over a month.,Frustrated,84
The platform's data retention policy gave us exactly the flexibility our compliance team needed.,Satisfied,96
We're still building out our internal documentation for how our team uses this tool.,Neutral,84
So far it's matched what we expected going in.,Neutral,46
Support's willingness to explain the technical reasoning behind a limit made it easier to plan around.,Satisfied,102
We've had the same conversation with support about the same bug for going on two months now.,Frustrated,92
"Coming up on eight months, weekly use across the team, and it's been dependable from day one.",Satisfied,93
"Been with them a year, light usage, and even that's been enough to run into three separate unresolved bugs.",Frustrated,107
Our monthly usage report looked about the same as it has all year.,Neutral,66
Support's fix required us to redo a week's worth of manual entry.,Frustrated,65
The recent consolidation of the help center made finding answers noticeably quicker.,Satisfied,84
We've kept usage roughly flat while we figure out our broader tooling strategy.,Neutral,79
The recent maintenance window ran nearly three hours past its announced end time.,Frustrated,81
The recent API changelog entry didn't affect any of our current integrations.,Neutral,77
The mobile app has been a genuine time-saver for our field team.,Satisfied,64
"About eight months as a customer, light use through the API, nothing has really stood out in either direction.",Neutral,110
"Support closed our ticket after one exchange, which felt appropriate for the question we asked.",Neutral,95
The recent redesign removed the bulk-edit feature our team used almost every day.,Frustrated,81
We're still deciding whether to expand to the higher-tier plan.,Neutral,63
Our monthly report needed a manual workaround to generate correctly again this year.,Frustrated,84
"The account's usage numbers don't match our own internal tracking, and nobody can explain the gap.",Frustrated,98
Our team's monthly review of this tool didn't turn up anything worth flagging either way.,Neutral,89
We use a handful of features regularly and haven't touched the rest.,Neutral,68
"Support followed up a week later to confirm the earlier fix was still holding, appreciated the check.",Neutral,101
We compared support response times against two other vendors and this one won clearly.,Satisfied,86
"About four months as a customer, and daily use across the team has already turned up more bugs than we expected this early.",Frustrated,123
We're paying for a plan tier that got quietly renamed and now shows the wrong label everywhere.,Frustrated,95
Support resolved a fairly complex integration issue in under a day.,Satisfied,67
"The recent price hike came with a genuine feature upgrade, so it felt justified.",Satisfied,80
"Support's answer to our escalation was just to reopen the same ticket, nothing new addressed.",Frustrated,93
The team hasn't raised any concerns about it in our last few check-ins.,Neutral,71
"One export ran slow last week, otherwise unremarkable.",Neutral,54
"Our team uses this alongside a couple of other tools, so it only handles part of our workflow.",Neutral,94
The account somehow got downgraded during a routine review we never requested.,Frustrated,78
The onboarding specialist checked in twice in the first month just to make sure things were going well.,Satisfied,103
"The recent price adjustment was modest and roughly matched inflation, from what we can tell.",Neutral,92
Support pointed us to a help article that mostly answered our question.,Neutral,71
The desktop app now takes upward of thirty seconds just to load the home screen.,Frustrated,80
"The last outage happened during our busiest week of the month, of course.",Frustrated,73
"A recent status update mentioned scheduled maintenance, which went as planned.",Neutral,78
The support team's response quality has stayed consistently high even as we've scaled up.,Satisfied,89
We haven't had a reason to escalate anything this year.,Neutral,55
We've never had a single billing dispute in the years we've been a customer.,Satisfied,76
Support macros keep landing in our inbox that clearly don't match what we actually asked.,Frustrated,89
The export scheduler has missed its run time on and off for the past month straight.,Frustrated,84
The recent consolidation of two support tools means our history from before the switch is gone.,Frustrated,95
"We're a small account, so our experience has probably been pretty typical.",Neutral,74
The recent redesign kept everything we liked and fixed the one thing we didn't.,Satisfied,79
Our second onboarding call still didn't get SSO configured correctly.,Frustrated,69
We're now on our second dedicated account manager who's never actually reached out to introduce themselves.,Frustrated,107
Our billing contact somehow got dropped from invoice notifications after the last account update.,Frustrated,97
We caught the export scheduler silently stopped running after a plan change nobody flagged.,Frustrated,91
We caught a duplicate charge on our card that took three weeks to get refunded.,Frustrated,79
The recent bug in the tagging system has mislabeled records across three separate reports.,Frustrated,90
"Same crash on the reporting page, third time this month.",Frustrated,56
"Nearly two years in, and it's the accumulation of small bugs, not any one big thing, that's worn us down.",Frustrated,105
The recent leadership change at the vendor has clearly deprioritized the features we actually care about.,Frustrated,105
"We mostly use the API, haven't touched the dashboard much.",Neutral,58
Our workflow hasn't changed much since we started.,Neutral,50
Not thrilled with how this renewal negotiation went. Felt more like a sales pitch than a conversation.,Frustrated,102
The recent price review actually lowered our costs after we mentioned our usage had dropped.,Satisfied,92
The reporting export is a bit slow but usable.,Neutral,46
The onboarding team caught a misconfiguration on our end before it caused any real issue.,Satisfied,89
It shouldn't take three emails to get a straightforward refund processed.,Frustrated,73
"Our usage dipped a bit over the holidays, back to normal since.",Neutral,63
"Our team ran a comparison against a competitor last quarter, and this came out ahead on almost every metric.",Satisfied,108
Every scheduled job we built around the old quota reset time broke when it changed without notice.,Frustrated,98
Onboarding took nearly a month longer than we were told it would.,Frustrated,65
A scheduled maintenance window was announced ahead of time and didn't disrupt our day.,Neutral,86
It's rare that a tool this central to our workflow causes this little friction.,Satisfied,79
Support's technical depth on a niche API question genuinely impressed our engineering team.,Satisfied,91
The recent price adjustment felt fair given what we're actually getting.,Satisfied,72
"A recent update changed some terminology in the settings, took a moment to find things again.",Neutral,93
"Coming up on two years, heavy weekly use, and this stretch has been as clean as any we've had.",Satisfied,94
The mobile notifications have been dependable enough that we rely on them fully now.,Satisfied,84
"Our usage has been fairly consistent, no real ups or downs to mention.",Neutral,70
"The reporting numbers seem to line up with what we're tracking internally, more or less.",Neutral,88
The recent infrastructure change added noticeable lag that wasn't there before.,Frustrated,79
"A minor UI tweak in the last release took a moment to notice, then it was fine.",Neutral,79
"We've had the same two people managing this account since the start, so continuity hasn't been an issue.",Neutral,104
Support's suggestion for our integration bug was to switch to a completely different tool.,Frustrated,90
The status page didn't get updated until hours after the outage actually started.,Frustrated,81
"Our overall experience this year has been fairly unremarkable, in a good way and a plain way.",Neutral,93
Our team's trust in the export accuracy has never wavered.,Satisfied,58
We're now paying for a feature tier we downgraded from two months ago.,Frustrated,70
Two support reps gave us contradictory answers to the same question within the same week.,Frustrated,89
Onboarding took a little longer than expected but got there in the end.,Neutral,71
"About nine months as a customer, heavy API use, with a handful of bugs that got resolved in a reasonable time.",Neutral,110
Single sign-on broke for about a third of our users after the product consolidation.,Frustrated,84
The platform's recent security certification renewal gave our compliance team real peace of mind.,Satisfied,97
Our procurement team is still comparing this against a couple of other options before the renewal decision.,Neutral,107
"Support walked us through a complex setup patiently, even though it took a while.",Satisfied,81
The mobile app covers everything we need when we're away from our desks.,Satisfied,72
"Two years of daily use, and this past quarter's bugs have been bad enough that we're actively looking at alternatives.",Frustrated,118
The dashboard's default view works for most of what we need day to day.,Neutral,71
The recent outage recovery left several of our automated workflows in a broken half-state.,Frustrated,90
"The recent consolidation of two products under one login made our admin work easier, not harder.",Satisfied,96
The recent consolidation of settings actually simplified things for our admins.,Satisfied,79
"Our nightly sync has dropped records roughly once a week for the past month, with nothing logged to explain why.",Frustrated,112
"The export queue has never once backed up on us, even during our busiest reporting periods.",Satisfied,91
The recent redesign of the mobile dashboard has genuinely improved how our field team works.,Satisfied,92
Half our team's admin permissions reset themselves after the last major update.,Frustrated,79
"A feature we don't use got bundled with one we needed, raising the cost either way.",Frustrated,83
Our team no longer trusts the scheduled exports enough to skip the manual check.,Frustrated,80
"Prices went up slightly this year, in line with what we expected.",Neutral,65
"The dashboard occasionally lags when pulling a large date range, otherwise it's fine.",Neutral,85
The API's uptime has been flawless through two of our busiest seasons.,Satisfied,70
"The API keys we generated last week already stopped working, with zero explanation.",Frustrated,83
The permissions bug that locks out new team members has never actually been resolved.,Frustrated,85
Our team's onboarding of new hires onto this tool takes less than a day now.,Satisfied,76
"Nine months in, running it through the API daily, and the number of open bugs is genuinely embarrassing for a paid product.",Frustrated,123
The API's pagination behavior changed without warning and broke every script that depended on it.,Frustrated,97
The onboarding video walkthrough matched our actual product version exactly.,Satisfied,76
The recent onboarding email covered the basics clearly enough.,Neutral,62
Our team's overall sentiment is neither particularly positive nor negative at this point.,Neutral,89
"A scheduled report arrived a few minutes late once, otherwise on time.",Neutral,70
"We haven't compared pricing against competitors recently, so can't say if it's still competitive.",Neutral,97
We've had to reset our integration credentials twice this quarter after unexplained expirations.,Frustrated,96
We're still deciding whether the API is worth integrating more deeply into our stack.,Neutral,85
Support was responsive to our onboarding questions.,Neutral,51
"We've never had to escalate a support ticket, which says a lot on its own.",Satisfied,74
Our account rep proactively flagged a plan change that saved us money.,Satisfied,70
"The account manager checks in periodically, nothing urgent has come up on either side.",Neutral,86
Search results have gotten noticeably less reliable since the last major update.,Frustrated,80
"A teammate ran into a permissions question, support cleared it up quickly.",Neutral,74
A year in and the permissions system still can't handle our org chart properly.,Frustrated,79
The account got suspended over a payment issue we'd already resolved a week earlier.,Frustrated,84
We're still on the fence about upgrading to the next tier.,Neutral,58
Support's suggested fix involved a manual process that eats almost an hour every week.,Frustrated,86
"Nine months in, weekly use across the team, and our experience has been fairly middle-of-the-road so far.",Neutral,105
We compared it against another provider recently and it came out roughly even.,Neutral,78
"The mobile app has started crashing on export, which it never used to do.",Frustrated,73
We've escalated the same issue four times and it keeps getting reassigned before anyone resolves it.,Frustrated,100
The recent update didn't change much for how our team actually uses it.,Neutral,71
The platform handled our end-of-year reporting crunch without a single delay.,Satisfied,77
"Our second escalation this month, same root cause both times.",Frustrated,61
The recent consolidation of billing across our subsidiaries actually made things clearer for our accountants.,Satisfied,109
It took a formal complaint before anyone addressed the recurring overcharge.,Frustrated,76
The platform's uptime has been about what we'd expect for a tool like this.,Neutral,75
Our compliance review this year went smoothly thanks to how well the audit trail is maintained.,Satisfied,95
The integration setup took a couple of tries to get right.,Neutral,58
We haven't had strong opinions form yet since our usage has been fairly limited.,Neutral,80
Every quarter it feels like something we relied on quietly stops working.,Frustrated,73
"We're a year in, heavy use across the team through the API, and honestly the bug count this year has made us question renewing.",Frustrated,127
A recent bug got flagged and fixed before it really affected our team.,Neutral,70
Support proactively reached out about an upcoming change so we could prepare ahead of time.,Satisfied,91
The platform's reliability has made it one of the few tools nobody on our team complains about.,Satisfied,95
We've had this integrated for over two years and it's never been the source of a single incident.,Satisfied,97
Our department head ran the cost comparison and this came out ahead on value.,Satisfied,77
"Support resolved our question in the first message, no back and forth needed.",Satisfied,77
"Support answered within a day, which felt about right for a non-urgent question.",Neutral,80
"The search feature has been broken since the last release. No fix, no timeline given.",Frustrated,85
Our team's renewal conversation this year was mostly just confirming we wanted to continue.,Satisfied,91
The billing portal has shown the wrong plan name for two months now despite us flagging it twice.,Frustrated,97
It took escalating to a manager just to get a straight answer about a refund we were owed.,Frustrated,90
The recent consolidation of our sub-accounts actually simplified billing instead of complicating it.,Satisfied,100
Our team has started keeping screenshots of every bug because verbal reports go nowhere.,Frustrated,88
Three years as a customer and the reliability has genuinely earned our trust.,Satisfied,77
We've had this account for three years and it's never once given us a reason to look elsewhere.,Satisfied,95
We flagged a security concern about shared credentials over a month ago. Still no real response.,Frustrated,96
The recent email notification about the update was clear enough to act on.,Neutral,74
The last three releases have each introduced a bug in the same module.,Frustrated,70
We've had consistently fast page loads even as our account has grown substantially.,Satisfied,83
Our team's onboarding of the newest feature took less time than the internal training we usually plan for.,Satisfied,106
"The account's two-factor setup was a bit fiddly to configure initially, works fine now.",Neutral,87
"The onboarding specialist who set up our account left the company, and the loose ends never got picked up.",Frustrated,106
Our contract renewal added a minimum seat requirement we weren't told about upfront.,Frustrated,84
The platform's consistency has made it easy to build long-term plans around it with confidence.,Satisfied,95
"Heavy daily use for over a year, and the API has started throwing errors that never used to happen.",Frustrated,99
"Two and a quarter years of use, and we still haven't accumulated a single bug worth flagging this year.",Satisfied,103
"Support's hours don't overlap perfectly with ours, but it hasn't caused real problems.",Neutral,86
"Daily use across the team for around eight months now, one or two minor bugs, nothing that's shifted our opinion either way.",Neutral,124
"After about eight months as a customer, running this heavily through the API, the reliability just isn't there anymore.",Frustrated,119
Nothing in particular to report this quarter.,Neutral,45
The recent outage notice included a clear root cause and a fix timeline that was actually met.,Satisfied,94
Support routed us through a bot that just repeated the help docs back at us.,Frustrated,76
This is the first year the loyalty pricing wasn't automatically applied at renewal.,Frustrated,83
"We're not power users, so most of the advanced settings are untouched.",Neutral,70
"The onboarding process was about what we expected, nothing stood out as especially good or bad.",Neutral,95
"Had to reach out to support once, got a reasonable answer within a day.",Neutral,71
The feature we were promised at signing still hasn't shipped. We've stopped asking about it.,Frustrated,92
"Ten months as a customer, and the export files have started coming through with missing columns.",Frustrated,96
We caught a bug where deleting a record doesn't actually remove it from the exports.,Frustrated,84
Haven't needed to contact support much this year.,Neutral,49
