review_text,sentiment
Our team's trust in the platform's uptime lets us schedule client demos without a backup plan.,Satisfied
The recent price structure change actually worked out cheaper for how we use it.,Satisfied
We're testing out a couple of the newer features but haven't reached a verdict yet.,Neutral
We're finding it harder every renewal to justify the cost against what we're actually getting.,Frustrated
"Response times from support have been consistently fast, even for minor questions.",Satisfied
"We haven't compared this against alternatives in a while, so can't speak to how it stacks up now.",Neutral
The reliability here has made it easy to build our own processes around this tool with confidence.,Satisfied
"The recent redesign moved everything our team had memorized, and productivity took a real hit that week.",Frustrated
Support told us to try again later for a bug that's been happening for over a month.,Frustrated
The account flagged our own scheduled automation as suspicious and locked us out for days.,Frustrated
The API's authentication flow changed and broke every integration that hadn't been updated in advance.,Frustrated
It shouldn't take three emails to get a straightforward refund processed.,Frustrated
We've had this integrated with four other tools and every connection has stayed stable.,Satisfied
"Our usage pattern is fairly predictable, mostly weekday mornings.",Neutral
The feature we were promised at signing still hasn't shipped. We've stopped asking about it.,Frustrated
"Same authentication bug, second escalation this quarter. It keeps getting marked resolved and then coming back.",Frustrated
"Support answered within a day, which felt about right for a non-urgent question.",Neutral
"Support remembered a detail from a conversation months ago, which felt genuinely attentive.",Satisfied
Two years in and it's still the most reliable part of our stack.,Satisfied
Our team's day-to-day trust in the numbers here means fewer manual sanity checks than we used to do.,Satisfied
Our team's overall read is that this has quietly become one of our most dependable vendors.,Satisfied
Our team hasn't had a single outage affect us directly in the time we've used this.,Satisfied
The recent price increase was the smallest we've seen among all the tools we currently pay for.,Satisfied
Our team's trust in the export process means it's now part of our automated reporting pipeline.,Satisfied
"Nobody flagged the missing columns in the export as a known issue, we had to find out the hard way.",Frustrated
We've never needed to escalate beyond the first support contact.,Satisfied
The recent feature rollout was communicated clearly well ahead of time.,Satisfied
The export tool handles our largest reports without any noticeable lag.,Satisfied
Our team's overall take is that it does the job without being especially memorable.,Neutral
The recent price adjustment came with a clear breakdown of what changed and why.,Satisfied
"Three years in and daily use across the team, and this has been the buggiest stretch we've seen yet.",Frustrated
"Ten months in, running it daily through the API, and the reliability has gotten bad enough that our team dreads updates now.",Frustrated
Two invoices in a row have had errors we had to catch ourselves.,Frustrated
The consolidation of two products under one login broke access for a chunk of our users.,Frustrated
We've had to reset our integration credentials twice this quarter after unexplained expirations.,Frustrated
The pricing seems in line with similar tools we've used before.,Neutral
"About a year and a half in, light use, and the couple of bugs we've seen were minor enough not to matter much.",Neutral
"The recent price adjustment was modest and roughly matched inflation, from what we can tell.",Neutral
We're keeping usage steady for now while we evaluate other tools alongside it.,Neutral
The recent update to the API's webhook retries has made our integration noticeably more reliable.,Satisfied
Our usage this quarter looked about the same as last quarter.,Neutral
"Two and a half years of daily use, and the number of issues this year alone has outpaced the previous two combined.",Frustrated
The API sandbox drifted out of sync with production and cost us two failed deploys.,Frustrated
"The API keys we generated last week already stopped working, with zero explanation.",Frustrated
Our team hasn't had a reason to contact support in a couple of months.,Neutral
The recent redesign kept everything we liked and fixed the one thing we didn't.,Satisfied
We've recommended this to two partner companies who've since signed up themselves.,Satisfied
The recent price match offer when we mentioned a competitor's quote was handled fairly and quickly.,Satisfied
We use a handful of features regularly and haven't touched the rest.,Neutral
"We don't have strong opinions on it either way, it just works well enough.",Neutral
Our finance lead said the renewal terms this year were the most reasonable we've seen from any vendor.,Satisfied
A small glitch in the search bar came and went without us needing to report it.,Neutral
Our team's feedback across the board has been positive since the last major release.,Satisfied
"We've had one small bug in over a year, and it was fixed the same day we reported it.",Satisfied
"We genuinely enjoy using this, which isn't something we say about most software.",Satisfied
"Five months in, running it through the API daily, and we've already logged more bugs than we're comfortable with.",Frustrated
We're still finding permissions that were never set up correctly during onboarding.,Frustrated
The recent consolidation of billing contacts dropped our finance team off the notifications list.,Frustrated
"We noticed a small delay in the export queue last week, resolved by the next day.",Neutral
"Coming up on two years, heavy weekly use, and this stretch has had more unresolved bugs than the rest combined.",Frustrated
I've stopped expecting a same-day reply from support at this point.,Frustrated
Support's canned response didn't reference a single detail from what we'd actually reported.,Frustrated
Our team's data has never once needed a manual correction after an export.,Satisfied
Support answered a question outside business hours faster than we expected.,Satisfied
We've had smooth renewals three years running now.,Satisfied
"About a year and a half as a customer, weekly use across the team, and the near-total lack of bugs has genuinely earned our trust.",Satisfied
Our team has started keeping screenshots of every bug because verbal reports go nowhere.,Frustrated
Our team's trust in this tool has only grown the longer we've used it.,Satisfied
The account dashboard undercounts our actual API usage by a noticeable margin.,Frustrated
The account setup process had a couple of extra steps compared to what we expected.,Neutral
"Five months in, heavy use through the API, and the volume of bugs this early has been a genuinely bad sign.",Frustrated
The mobile app's recent redesign got unprompted compliments from two team members.,Satisfied
We're keeping our usage steady while evaluating whether to consolidate tools next year.,Neutral
"A colleague ran into a permissions quirk, cleared up with a quick support message.",Neutral
"We've had this account for four years, and it remains one of the smoothest relationships we manage.",Satisfied
"Bug after bug this quarter, and the fixes keep introducing new ones.",Frustrated
Renewal terms stayed roughly the same as last year.,Neutral
"Our team's usage has tripled since we started, and performance hasn't dipped at all.",Satisfied
Billing has been consistent and matches what we expected.,Neutral
"Nine months in, weekly use across the team, and our experience has been fairly middle-of-the-road so far.",Neutral
"Nearly three years in, light API use, and even our minimal usage has surfaced bugs that never get fixed.",Frustrated
"Compared to the tool we used before, this has been a breath of fresh air.",Satisfied
We're mid-way through evaluating whether to renew at the current tier or scale down.,Neutral
"Light users for most of the year, but even our occasional weekly logins have hit the same recurring bug twice now.",Frustrated
The uptime page shows fewer incidents than what we've actually experienced this quarter.,Frustrated
"Coming up on two years as a customer, heavy daily use across the team, and we genuinely haven't hit a single real bug.",Satisfied
"Our usage of the export feature is occasional, maybe once or twice a month.",Neutral
Our account manager left the company and nobody told us who'd taken over.,Frustrated
"Our team runs this heavily through the API, and after seven months the error rate has only gotten worse.",Frustrated
"Nearly three years in, light API use, and even so we've never had a reason to open a bug report.",Satisfied
"Honestly, the documentation hasn't kept up with the product for a while now.",Frustrated
"The recent consolidation of the admin panel made permissions easier to manage, not harder.",Satisfied
The recent template update broke the formatting on every report we'd built before it.,Frustrated
Our compliance officer lost a permission level she needs after the last role consolidation.,Frustrated
"We've had a genuinely positive experience at every stage, from sales through renewal.",Satisfied
The recent redesign of the export flow cut our reporting time nearly in half.,Satisfied
"The recent price hike came with a genuine feature upgrade, so it felt justified.",Satisfied
It just works. Not much more to say than that.,Satisfied
Our team has had zero data accuracy issues since we started tracking it closely.,Satisfied
Support closed our ticket as resolved. It was not resolved. We had to reopen it.,Frustrated
Getting an actual person on the phone has become noticeably harder this year.,Frustrated
The recent price lock offer for early renewal was a nice surprise.,Satisfied
The dashboard's recent layout change was more cosmetic than functional for our workflow.,Neutral
Two years as a customer and this is the first time we've seriously considered switching.,Frustrated
"Support resolved a billing question in a single reply, clearly and completely.",Satisfied
We've kept usage roughly flat while we figure out our broader tooling strategy.,Neutral
"The onboarding process was about what we expected, nothing stood out as especially good or bad.",Neutral
"Our support ticket history shows a handful of resolved questions, nothing recurring.",Neutral
"Our second escalation this month, same root cause both times.",Frustrated
The recent price review resulted in a better rate for us without us even having to ask.,Satisfied
"Heavy weekly use for over a year now, and the unresolved bug count has become genuinely hard to justify internally.",Frustrated
"The recent version seems roughly the same speed as before, no noticeable change.",Neutral
Support caught an edge case in our setup before it became a real problem.,Satisfied
Our account rep proactively flagged a plan change that saved us money.,Satisfied
"Our team is still getting used to the new navigation, no strong feelings yet.",Neutral
Our team's workflow broke because a module consolidation merged two things we needed kept separate.,Frustrated
The platform's permissions model handled our complex org structure better than we expected.,Satisfied
We're not seeing the value increase that was supposedly the reason for this year's price hike.,Frustrated
We switched our billing contact recently and the transition was handled without a single hiccup.,Satisfied
Our workflow hasn't changed much since we started.,Neutral
"We've been customers for eight months, light API use, and even that's surfaced enough bugs to make us cautious.",Frustrated
Our escalation sat untouched for two weeks before anyone even acknowledged it.,Frustrated
Support routed us through a bot that just repeated the help docs back at us.,Frustrated
Just started exploring the API side of things.,Neutral
The onboarding materials covered most of what we needed.,Neutral
"About eight months as a customer, light use through the API, nothing has really stood out in either direction.",Neutral
"Usage tends to spike around month-end for us, otherwise pretty quiet.",Neutral
"Support followed up a week later to confirm the earlier fix was still holding, appreciated the check.",Neutral
Support keeps sending us documentation links that were last updated two versions ago.,Frustrated
"A colleague mentioned the export took a bit longer than usual once, hasn't recurred since.",Neutral
"The interface took some getting used to at first, but we've adjusted fine.",Neutral
"About six months in, daily API use, and it's been consistently solid the whole time.",Satisfied
"Two small bugs in two years, both resolved quickly and without drama.",Satisfied
"Our compliance team's review this year took half the time it used to, thanks to better reporting tools.",Satisfied
The platform scaled with us through a company-wide reorg without any hiccups.,Satisfied
We switched providers two years ago and this has outperformed the old one on every front.,Satisfied
Half our saved filters vanished after the last update. No explanation given.,Frustrated
The last three invoices have each had an error we had to catch ourselves.,Frustrated
"About ten months as a customer, mostly weekly use, and we're genuinely losing patience with the bug count.",Frustrated
Our account's audit trail is missing entries from at least two incidents we know happened.,Frustrated
"Our team's biggest praise is honestly just consistency, quarter after quarter, nothing goes wrong.",Satisfied
Our team's overall sentiment heading into next year's budget planning is to keep this exactly as is.,Satisfied
The team hasn't raised any concerns about it in our last few check-ins.,Neutral
"The export tool's recent update fixed the one small annoyance we'd had, and nothing else changed.",Satisfied
"The mobile app covers the basics, we mostly use the desktop version anyway.",Neutral
Our team's overall sentiment going into this renewal is genuinely enthusiastic.,Satisfied
We've genuinely never had a reason to open more than a couple of support tickets total.,Satisfied
"A feature we don't use got bundled with one we needed, raising the cost either way.",Frustrated
"A scheduled export ran a bit late last week, arrived within the hour.",Neutral
Eight months in and the reporting dashboard still miscounts totals more often than it should.,Frustrated
A colleague flagged a minor formatting issue in one report; otherwise things have been fine.,Neutral
"One notification setting is a little confusing, otherwise fine.",Neutral
Support's canned reply didn't reference a single thing we'd actually asked about.,Frustrated
Every scheduled job we built around the old quota reset time broke when it changed without notice.,Frustrated
The recent bug in the tagging system has mislabeled records across three separate reports.,Frustrated
Our team genuinely looks forward to the monthly report this generates.,Satisfied
"Our team uses this alongside a couple of other tools, so it only handles part of our workflow.",Neutral
The pricing calculator at renewal quoted a number that didn't match the actual invoice.,Frustrated
Our team's workflow has gotten noticeably faster since we started using the API integration.,Satisfied
The recent outage recovery left several of our automated workflows in a broken half-state.,Frustrated
Support's priority queue hasn't felt any faster than the regular one this quarter.,Frustrated
The platform's uptime has been about what we'd expect for a tool like this.,Neutral
Support caught a subtle configuration issue we hadn't even noticed ourselves.,Satisfied
"Coming up on a year and a half with them, and the last few months of heavy use have been rougher than the rest combined.",Frustrated
Support's fix required us to redo a week's worth of manual entry.,Frustrated
"Ten months in, running it daily through the API, and the reliability has been consistent enough that renewal wasn't even a discussion.",Satisfied
We caught a duplicate charge on our card that took three weeks to get refunded.,Frustrated
"We haven't had a reason to test the disaster recovery process, so can't speak to that.",Neutral
"Our team's usage patterns are pretty routine, same handful of reports each week.",Neutral
The platform's recent security certification renewal gave our compliance team real peace of mind.,Satisfied
"Ever since the last update, exports have been unreliable at best.",Frustrated
Our loyalty discount from signing quietly disappeared at this year's renewal.,Frustrated
"Our scheduled reports just didn't send, twice in the same week.",Frustrated
"Our team's usage is concentrated in one department, so feedback here is fairly narrow.",Neutral
Our data import corrupted roughly a tenth of the records with no error shown at all.,Frustrated
"Pricing has stayed the same, and so has our usage.",Neutral
So far it's matched what we expected going in.,Neutral
This is the first year the loyalty pricing wasn't automatically applied at renewal.,Frustrated
We're still building out our internal documentation for how our team uses this tool.,Neutral
Our developers specifically praised how well-documented the webhook system is.,Satisfied
We caught the account showing the wrong billing contact even after updating it twice.,Frustrated
Support's average response time has crept from hours to days over the past couple of quarters.,Frustrated
The setup wizard crashed twice before we could even finish configuring the basics.,Frustrated
"The last outage happened during our busiest week of the month, of course.",Frustrated
"About a year and a half in, running this daily through the API, and it's never once let us down.",Satisfied
"Renewal was an easy call this year, no debate needed.",Satisfied
Every renewal seems to bring a price increase with nothing new to show for it.,Frustrated
Billing has been exactly what we expected every single cycle.,Satisfied
We had to disable two-factor auth because it kept locking legitimate users out.,Frustrated
"Light weekly users for around eight months, and in that time we haven't run into anything worth complaining about.",Satisfied
We keep hitting the same session-timeout bug across three different browsers.,Frustrated
The integration setup took a couple of tries to get right.,Neutral
The onboarding team caught a misconfiguration on our end before it caused any real issue.,Satisfied
Our department head ran the cost comparison and this came out ahead on value.,Satisfied
Our finance team ran the numbers and this beats at least two other vendors we looked at.,Satisfied
We were quoted a two-week fix for the sync bug. That was two months ago.,Frustrated
The platform's data retention policy gave us exactly the flexibility our compliance team needed.,Satisfied
Haven't needed to contact support much this year.,Neutral
"Every time we ask about the missing feature, we get told it's 'on the roadmap.'",Frustrated
A recent feature announcement didn't apply to how we currently use the product.,Neutral
"The account has had a couple of admin changes on our end, nothing on the platform's side.",Neutral
"Frankly, it feels like nobody tested the last update before shipping it.",Frustrated
Support's knowledge base answered a fairly technical question in enough depth that we didn't need to follow up.,Satisfied
The recent maintenance window ran nearly three hours past its announced end time.,Frustrated
The integration with our other tools has worked flawlessly since day one.,Satisfied
Our team's first year with this tool has genuinely exceeded expectations.,Satisfied
Our IT team said the SSO setup was the cleanest they've configured all year.,Satisfied
"A teammate asked support about a setting, got a clear answer within the day.",Neutral
Nothing about this quarter's support experience has felt like an improvement.,Frustrated
The last update disabled a workflow our whole process was built around.,Frustrated
Our team's ticket volume has dropped to nearly zero because things just don't break anymore.,Satisfied
We've had this account since early on and watched it improve steadily every year.,Satisfied
"We've had the same two people managing this account since the start, so continuity hasn't been an issue.",Neutral
"Coming up on two years, heavy weekly use, and this stretch has been as clean as any we've had.",Satisfied
Our team's day-to-day workflow hasn't shifted much because of this tool either way.,Neutral
"We caught duplicate records after the last sync, and support blamed it on our side without evidence.",Frustrated
The platform's recent changes have been incremental enough that nothing really stood out.,Neutral
The recent redesign hid the export option two menus deeper than it used to be.,Frustrated
Support caught an issue before we even noticed it and had it fixed by the time we checked.,Satisfied
"A couple of minor bugs here and there, nothing that's held us up.",Neutral
We migrated our data in March and are still finding records that didn't come across cleanly.,Frustrated
"About a year as a customer, light weekly use, and the couple of bugs we've hit haven't really changed how we feel about it.",Neutral
The export formatting has been consistent and clean every time we've used it.,Satisfied
"The recent settings page reorganization took a minute to find things again, then it was fine.",Neutral
The export formatting has matched our template requirements perfectly every time.,Satisfied
"Five months in, heavy use through the API, and the total lack of bugs this early has been a genuinely good sign.",Satisfied
The account's recovery codes stopped working with no notice they'd been rotated.,Frustrated
Our contract renewal quietly added terms that weren't in last year's version.,Frustrated
"Our team hasn't needed the API much this quarter, mostly using the dashboard.",Neutral
Support's willingness to jump on a call for a tricky setup question saved us real time.,Satisfied
The recent price adjustment was accompanied by a feature set that justified it clearly.,Satisfied
The rate limit got cut in half last quarter with zero heads-up to existing customers.,Frustrated
Support resolved a data discrepancy for us before we'd even finished describing the issue.,Satisfied
Still comparing it against how our old process used to work.,Neutral
Our monthly report needed a manual workaround to generate correctly again this year.,Frustrated
"Nothing broke this month, nothing particularly impressed either.",Neutral
Support's technical depth on a niche API question genuinely impressed our engineering team.,Satisfied
"Six months of weekly use across the team, no strong complaints, no strong praise either.",Neutral
The mobile notifications have been accurate and timely every time we've relied on them.,Satisfied
"We've scaled usage up and down a few times, it's held up fine either way.",Neutral
Unsubscribing from one alert type somehow unsubscribed us from all of them.,Frustrated
"About a year and a half as a customer, weekly use, and the bug reports we've filed keep going nowhere.",Frustrated
The last three releases have each introduced a bug in the same module.,Frustrated
The onboarding specialist anticipated a question we hadn't even asked yet.,Satisfied
The recent deprecation gave us exactly a week of notice before turning the feature off entirely.,Frustrated
Data didn't save. Again. This is the third time this quarter.,Frustrated
We compared support response times against two other vendors and this one won clearly.,Satisfied
The account setup for our new team members has become close to instant.,Satisfied
The permissions bug that locks out new team members has never actually been resolved.,Frustrated
"We caught the same billing discrepancy for two cycles running, and each time we're told it's handled.",Frustrated
"Our team lead mentioned the export ran a bit slower than usual, but nothing that blocked anything.",Neutral
We lost access to an admin account for two days over a false positive on suspicious login activity.,Frustrated
A scheduled maintenance window was announced ahead of time and didn't disrupt our day.,Neutral
We've escalated the same issue four times and it keeps getting reassigned before anyone resolves it.,Frustrated
Our account's activity log looks about right compared to what we remember doing.,Neutral
We're seeing the same crash on the reporting page for the third time this month.,Frustrated
Half our team's admin permissions reset themselves after the last major update.,Frustrated
It's gotten harder to reach anyone beyond the most basic support tier this year.,Frustrated
Support's fix for our integration bug was to suggest switching to an unrelated tool entirely.,Frustrated
The platform's status page has always matched what we've actually experienced.,Satisfied
The last renewal conversation covered the basics without much back and forth.,Neutral
Support's response to our security question was detailed and reassuring.,Satisfied
"We're a small account, so our experience has probably been pretty typical.",Neutral
The mobile app has been a genuine time-saver for our field team.,Satisfied
"Daily use for a year and a half, and it feels like every update trades one bug for a new one.",Frustrated
"The account's usage numbers don't match our own internal tracking, and nobody can explain the gap.",Frustrated
We've had this running in production for years without a single major incident.,Satisfied
"Coming up on three years, heavy use across the team, and the reliability this year has been the worst yet.",Frustrated
"We ran into one sync delay a while back, it cleared up on its own within a day.",Neutral
"We compared notes with another team using the same tool, and our experiences sounded similar.",Neutral
The platform's consistency has made it easy to build long-term plans around it with confidence.,Satisfied
Support's suggested fix involved a manual process that eats almost an hour every week.,Frustrated
Our finance team hasn't flagged anything unusual about the invoices this year.,Neutral
"It's fine for the dashboard stuff, does the job.",Neutral
"The mobile app still can't do half of what the web version can, years after launch.",Frustrated
The changelog buried a breaking change in a minor version bump nobody thought to flag for us.,Frustrated
We recommended this to another department after just a few months of using it ourselves.,Satisfied
"Had to reach out to support once, got a reasonable answer within a day.",Neutral
"About seven months as a customer, light weekly logins, and even at that pace we've never once hit a bug worth reporting.",Satisfied
"Our team's overall experience has been so smooth that this rarely comes up in meetings, which is a good sign.",Satisfied
Support pointed us to a help article that mostly answered our question.,Neutral
The recent billing cycle went through without any manual intervention needed.,Neutral
"The account's two-factor setup was a bit fiddly to configure initially, works fine now.",Neutral
"Support's response quality has been consistent, if not especially fast.",Neutral
"Support answered our one question promptly, nothing else to flag.",Neutral
We've had the same conversation with support about the same bug for going on two months now.,Frustrated
Our finance team was quoted one renewal price and billed a different one.,Frustrated
Support's technical writeup after a rare incident was thorough enough that we didn't need to ask follow-up questions.,Satisfied
"The API has been a pleasure to build against, genuinely well thought out.",Satisfied
"A teammate asked about the API limits, support gave a clear answer.",Neutral
Support answered a tricky billing question clearly and without any back and forth.,Satisfied
The renewal call this year felt more like a retention script than an actual conversation.,Frustrated
Our team avoided a client demo failure only because someone happened to test the export beforehand.,Frustrated
The API's pagination behavior changed without warning and broke every script that depended on it.,Frustrated
The export tool hasn't particularly impressed or disappointed us over the past couple of weeks.,Neutral
"We've had mixed experiences with support response times, some fast, some slower.",Neutral
The API's uptime has been flawless through two of our busiest seasons.,Satisfied
The recent consolidation of settings pages took a bit of relearning but nothing major.,Neutral
"Quick check-in from our side, nothing specific to report this week.",Neutral
Our team split on whether the new layout is better or just different.,Neutral
The recent price list update matched what our account rep had told us beforehand.,Neutral
"The recent consolidation of two products under one login made our admin work easier, not harder.",Satisfied
The account setup process was refreshingly straightforward compared to what we expected.,Satisfied
"Search has been stable for us this past month, nothing to report either way.",Neutral
"It's been about what we expected going into the renewal, nothing surprising either way.",Neutral
We haven't had strong opinions form yet since our usage has been fairly limited.,Neutral
Still getting a feel for the reporting side of things.,Neutral
The trial period ended and reset all our configuration without any warning it would.,Frustrated
"The platform's search has gotten noticeably faster with each release, not slower.",Satisfied
"The recent password policy change required a reset for everyone, mildly inconvenient but understandable.",Neutral
The recent onboarding materials were clear enough that we barely needed a support call.,Satisfied
Our data exports have been accurate as far as we've checked.,Neutral
The account somehow got downgraded during a routine review we never requested.,Frustrated
Support macro responses keep coming back that don't actually address what we asked.,Frustrated
"Still forming an opinion as we go, early days for us.",Neutral
We caught a sync bug that's been quietly dropping about one record a week for over a month.,Frustrated
Our IT team was impressed with how clean the permissions setup turned out to be.,Satisfied
The account got suspended over a payment issue we'd already resolved a week earlier.,Frustrated
"One outage this year, resolved within a few hours.",Neutral
"About a year as a customer, light daily use, and the bugs we've hit have been enough to make renewal a real debate internally.",Frustrated
"The API silently drops fields from the response now, with nothing in the changelog about it.",Frustrated
"Almost two years as a customer, weekly use through the API, and the bug backlog just keeps growing.",Frustrated
The status page didn't get updated until hours after the outage actually started.,Frustrated
We switched from a competitor last year and haven't looked back since.,Satisfied
Support's chat widget connected us to a real person within a minute.,Satisfied
Our procurement team is still comparing this against a couple of other options before the renewal decision.,Neutral
"A routine maintenance window caused a short delay, nothing that affected our day.",Neutral
Our team lead specifically praised how intuitive the new dashboard layout is.,Satisfied
"The account permissions took some getting used to, but they work as documented.",Neutral
"We noticed the mobile app icon changed in the last update, otherwise business as usual.",Neutral
We've had to redo the same integration setup twice because it silently reset after a platform update.,Frustrated
"The API rate limits have never once gotten in our way, even during peak usage.",Satisfied
Our finance team caught a billing error the support team never flagged on their end.,Frustrated
The support team's response quality has stayed consistently high even as we've scaled up.,Satisfied
The onboarding experience for our newest hire was the smoothest we've seen across any of our tools.,Satisfied
We upgraded our plan last quarter and the transition was seamless.,Satisfied
"We're a mid-size account, so our experience probably sits somewhere in the middle of most feedback.",Neutral
Our export naming convention silently changed and broke every script depending on it.,Frustrated
Nothing notable to report from our side this quarter.,Neutral
"Our contract is up for renewal soon, and we're weighing it against a couple of alternatives.",Neutral
We haven't had to think about the pricing much since it's been flat for a while.,Neutral
"Our overall experience this year has been fairly unremarkable, in a good way and a plain way.",Neutral
We've had the account locked twice this week for reasons nobody could explain.,Frustrated
The recent update to permissions made delegating access far less of a manual chore.,Satisfied
"We've had the same account rep for two years now, and the continuity has been genuinely valuable.",Satisfied
We caught the export scheduler silently stopped running after a plan change nobody flagged.,Frustrated
The recent bug fix for the export issue somehow introduced a new bug in the import process.,Frustrated
"Prices went up slightly this year, in line with what we expected.",Neutral
The dashboard's recent redesign somehow made a busy interface feel calmer.,Satisfied
The export accuracy has held up even through a company-wide data migration on our end.,Satisfied
The recent infrastructure change introduced lag that wasn't there the entire first year we used this.,Frustrated
Our team's feedback on this has been fairly split between mild positives and mild negatives.,Neutral
The mobile app's offline mode has worked reliably every time we've needed it.,Satisfied
The support satisfaction survey feels like a formality nobody actually reads the answers to.,Frustrated
The recent consolidation of account settings actually reduced the number of support questions our team has.,Satisfied
The dashboard's default view works for most of what we need day to day.,Neutral
The recent feature update solved a workaround we'd been living with for months.,Satisfied
The mobile app hasn't had a meaningful update in over a year at this point.,Frustrated
We've never had to follow up twice on the same support ticket.,Satisfied
"We use this daily across the whole team, and the number of unresolved bugs has started to wear on people.",Frustrated
Our team's saved dashboards broke after the visual refresh with no migration path offered.,Frustrated
The account manager caught an unused add-on and proactively removed it from our bill.,Satisfied
We're still deciding if the API access is worth the added cost for our use case.,Neutral
A recent bug got flagged and fixed before it really affected our team.,Neutral
"We're light users, maybe weekly, but even at that pace we've hit more bugs than we'd expect from a mature product.",Frustrated
"The dashboard filters reset themselves every time the page refreshes, which is often.",Frustrated
The onboarding call covered edge cases we hadn't even thought to ask about.,Satisfied
"A minor formatting quirk in the PDF export, nothing worth escalating.",Neutral
"The dashboard occasionally lags when pulling a large date range, otherwise it's fine.",Neutral
"General status update: no issues, nothing notable this quarter.",Neutral
Our team's confidence in the platform is high enough that we've stopped double-checking exports manually.,Satisfied
The recent consolidation of two regional data centers caused a sync delay that's still not resolved.,Frustrated
We're still deciding whether the API is worth integrating more deeply into our stack.,Neutral
"We're still on the original plan we signed up for, no changes since.",Neutral
Our team hasn't had a strong reaction to the recent changes one way or the other.,Neutral
